Training started for V3c
============================================================
Epoch 129: Train=0.001983, Val=0.000121, Data=0.001697, Phys=578.570584, Lambda=4.94e-07, LR=1.00e-05
Epoch 130: Train=0.001978, Val=0.000118, Data=0.001686, Phys=579.670618, Lambda=5.04e-07, LR=1.00e-05
Epoch 131: Train=0.001980, Val=0.000110, Data=0.001683, Phys=577.995821, Lambda=5.14e-07, LR=1.00e-05
Epoch 132: Train=0.001977, Val=0.000112, Data=0.001675, Phys=576.063697, Lambda=5.25e-07, LR=1.00e-05
Epoch 133: Train=0.001947, Val=0.000104, Data=0.001636, Phys=579.175260, Lambda=5.36e-07, LR=1.00e-05
Epoch 134: Train=0.001966, Val=0.000110, Data=0.001652, Phys=575.272823, Lambda=5.47e-07, LR=1.00e-05
Epoch 135: Train=0.001942, Val=0.000107, Data=0.001622, Phys=574.799085, Lambda=5.58e-07, LR=1.00e-05
Epoch 136: Train=0.001946, Val=0.000106, Data=0.001618, Phys=575.290576, Lambda=5.70e-07, LR=1.00e-05
Epoch 137: Train=0.001953, Val=0.000093, Data=0.001618, Phys=576.677441, Lambda=5.81e-07, LR=1.00e-05
Epoch 138: Train=0.001940, Val=0.000098, Data=0.001599, Phys=574.469284, Lambda=5.93e-07, LR=1.00e-05
Epoch 139: Train=0.001938, Val=0.000096, Data=0.001593, Phys=569.937775, Lambda=6.06e-07, LR=1.00e-05
Epoch 140: Train=0.001920, Val=0.000095, Data=0.001565, Phys=574.473989, Lambda=6.18e-07, LR=1.00e-05
Epoch 141: Train=0.001939, Val=0.000100, Data=0.001580, Phys=570.073240, Lambda=6.31e-07, LR=1.00e-05
Epoch 142: Train=0.001916, Val=0.000099, Data=0.001548, Phys=571.879522, Lambda=6.44e-07, LR=1.00e-05
Epoch 143: Train=0.001912, Val=0.000092, Data=0.001536, Phys=571.372728, Lambda=6.57e-07, LR=1.00e-05
Epoch 144: Train=0.001917, Val=0.000087, Data=0.001536, Phys=568.106790, Lambda=6.71e-07, LR=1.00e-05
