Training started for V3a_a_0_001
============================================================
Epoch 160: Train=0.000314, Val=0.000013, Data=0.000309, Phys=530.526281, Lambda=9.31e-09, LR=1.00e-04
Epoch 161: Train=0.000317, Val=0.000011, Data=0.000312, Phys=527.719978, Lambda=9.50e-09, LR=1.00e-04
Epoch 162: Train=0.000315, Val=0.000011, Data=0.000310, Phys=525.789446, Lambda=9.70e-09, LR=1.00e-04
Epoch 163: Train=0.000309, Val=0.000014, Data=0.000304, Phys=524.352605, Lambda=9.90e-09, LR=1.00e-04
Epoch 164: Train=0.000311, Val=0.000009, Data=0.000306, Phys=522.889496, Lambda=1.01e-08, LR=1.00e-04
Epoch 165: Train=0.000308, Val=0.000010, Data=0.000303, Phys=519.798105, Lambda=1.03e-08, LR=1.00e-04
Epoch 166: Train=0.000306, Val=0.000011, Data=0.000301, Phys=518.641978, Lambda=1.05e-08, LR=1.00e-04
Epoch 167: Train=0.000311, Val=0.000010, Data=0.000306, Phys=516.624790, Lambda=1.07e-08, LR=1.00e-04
Epoch 168: Train=0.000304, Val=0.000011, Data=0.000298, Phys=515.304859, Lambda=1.10e-08, LR=1.00e-04
Epoch 169: Train=0.000302, Val=0.000012, Data=0.000297, Phys=513.093060, Lambda=1.12e-08, LR=1.00e-04
Epoch 170: Train=0.000300, Val=0.000010, Data=0.000294, Phys=511.142736, Lambda=1.14e-08, LR=1.00e-04
Epoch 171: Train=0.000300, Val=0.000011, Data=0.000294, Phys=508.940790, Lambda=1.17e-08, LR=1.00e-04
Epoch 172: Train=0.000301, Val=0.000011, Data=0.000295, Phys=507.892082, Lambda=1.19e-08, LR=1.00e-04
Epoch 173: Train=0.000301, Val=0.000011, Data=0.000294, Phys=504.428367, Lambda=1.21e-08, LR=1.00e-04
Epoch 174: Train=0.000302, Val=0.000012, Data=0.000296, Phys=502.644675, Lambda=1.24e-08, LR=1.00e-04
Epoch 175: Train=0.000298, Val=0.000011, Data=0.000292, Phys=500.527942, Lambda=1.27e-08, LR=1.00e-04
Epoch 176: Train=0.000301, Val=0.000011, Data=0.000294, Phys=499.333112, Lambda=1.29e-08, LR=1.00e-04
Epoch 177: Train=0.000302, Val=0.000011, Data=0.000295, Phys=498.389189, Lambda=1.32e-08, LR=1.00e-04
Epoch 178: Train=0.000297, Val=0.000011, Data=0.000290, Phys=495.265922, Lambda=1.35e-08, LR=1.00e-04
Epoch 179: Train=0.000296, Val=0.000010, Data=0.000289, Phys=492.629249, Lambda=1.37e-08, LR=1.00e-04
Epoch 180: Train=0.000292, Val=0.000009, Data=0.000285, Phys=491.842178, Lambda=1.40e-08, LR=1.00e-04
Epoch 181: Train=0.000294, Val=0.000012, Data=0.000287, Phys=489.565389, Lambda=1.43e-08, LR=1.00e-04
Epoch 182: Train=0.000287, Val=0.000011, Data=0.000280, Phys=487.414874, Lambda=1.46e-08, LR=1.00e-04
Epoch 183: Train=0.000300, Val=0.000012, Data=0.000293, Phys=485.470309, Lambda=1.49e-08, LR=1.00e-04
Epoch 184: Train=0.000295, Val=0.000011, Data=0.000288, Phys=483.306887, Lambda=1.52e-08, LR=1.00e-04
Epoch 185: Train=0.000289, Val=0.000010, Data=0.000282, Phys=481.547143, Lambda=1.55e-08, LR=1.00e-04
Epoch 186: Train=0.000293, Val=0.000014, Data=0.000285, Phys=479.172959, Lambda=1.58e-08, LR=1.00e-04
Epoch 187: Train=0.000293, Val=0.000010, Data=0.000285, Phys=477.274531, Lambda=1.62e-08, LR=1.00e-04
Epoch 188: Train=0.000291, Val=0.000009, Data=0.000283, Phys=474.499849, Lambda=1.65e-08, LR=1.00e-04
Epoch 189: Train=0.000291, Val=0.000012, Data=0.000283, Phys=473.574499, Lambda=1.69e-08, LR=1.00e-04
Epoch 190: Train=0.000289, Val=0.000011, Data=0.000281, Phys=471.360669, Lambda=1.72e-08, LR=1.00e-04
Epoch 191: Train=0.000288, Val=0.000009, Data=0.000279, Phys=469.010972, Lambda=1.76e-08, LR=1.00e-04
Epoch 192: Train=0.000289, Val=0.000011, Data=0.000280, Phys=466.742365, Lambda=1.79e-08, LR=1.00e-04
Epoch 193: Train=0.000284, Val=0.000010, Data=0.000276, Phys=465.107597, Lambda=1.83e-08, LR=1.00e-04
