Training started for V3b
============================================================
Epoch 176: Train=0.000796, Val=0.000029, Data=0.000767, Phys=627.522170, Lambda=4.64e-08, LR=1.00e-05
Epoch 177: Train=0.000776, Val=0.000034, Data=0.000746, Phys=626.955898, Lambda=4.79e-08, LR=1.00e-05
Epoch 178: Train=0.000787, Val=0.000033, Data=0.000756, Phys=626.943578, Lambda=4.94e-08, LR=1.00e-05
Epoch 179: Train=0.000786, Val=0.000028, Data=0.000754, Phys=626.139351, Lambda=5.09e-08, LR=1.00e-05
Epoch 180: Train=0.000782, Val=0.000040, Data=0.000749, Phys=625.877526, Lambda=5.25e-08, LR=1.00e-05
Epoch 181: Train=0.000776, Val=0.000033, Data=0.000742, Phys=626.025622, Lambda=5.41e-08, LR=1.00e-05
Epoch 182: Train=0.000784, Val=0.000032, Data=0.000749, Phys=624.455741, Lambda=5.58e-08, LR=1.00e-05
Epoch 183: Train=0.000780, Val=0.000034, Data=0.000744, Phys=625.127252, Lambda=5.75e-08, LR=1.00e-05
Epoch 184: Train=0.000779, Val=0.000035, Data=0.000742, Phys=623.585871, Lambda=5.93e-08, LR=1.00e-05
Epoch 185: Train=0.000770, Val=0.000038, Data=0.000732, Phys=624.535704, Lambda=6.12e-08, LR=1.00e-05
Epoch 186: Train=0.000770, Val=0.000037, Data=0.000730, Phys=623.902777, Lambda=6.31e-08, LR=1.00e-05
Epoch 187: Train=0.000784, Val=0.000030, Data=0.000743, Phys=623.887686, Lambda=6.51e-08, LR=1.00e-05
Epoch 188: Train=0.000773, Val=0.000033, Data=0.000731, Phys=621.933008, Lambda=6.71e-08, LR=1.00e-05
Epoch 189: Train=0.000768, Val=0.000029, Data=0.000725, Phys=622.386299, Lambda=6.92e-08, LR=1.00e-05
Epoch 190: Train=0.000776, Val=0.000033, Data=0.000732, Phys=621.308561, Lambda=7.13e-08, LR=1.00e-05
Epoch 191: Train=0.000777, Val=0.000029, Data=0.000732, Phys=621.705186, Lambda=7.36e-08, LR=1.00e-05
Epoch 192: Train=0.000764, Val=0.000028, Data=0.000717, Phys=621.248543, Lambda=7.59e-08, LR=1.00e-05
Epoch 193: Train=0.000760, Val=0.000035, Data=0.000711, Phys=620.999700, Lambda=7.82e-08, LR=1.00e-05
Epoch 194: Train=0.000768, Val=0.000031, Data=0.000718, Phys=620.359960, Lambda=8.07e-08, LR=1.00e-05
Epoch 195: Train=0.000768, Val=0.000034, Data=0.000716, Phys=619.632226, Lambda=8.32e-08, LR=1.00e-05
Epoch 196: Train=0.000766, Val=0.000030, Data=0.000712, Phys=619.576140, Lambda=8.58e-08, LR=1.00e-05
Epoch 197: Train=0.000767, Val=0.000030, Data=0.000713, Phys=618.574245, Lambda=8.84e-08, LR=1.00e-05
Epoch 198: Train=0.000761, Val=0.000030, Data=0.000705, Phys=620.579130, Lambda=9.12e-08, LR=1.00e-05
Epoch 199: Train=0.000761, Val=0.000031, Data=0.000703, Phys=616.461930, Lambda=9.40e-08, LR=1.00e-05
Epoch 200: Train=0.000757, Val=0.000028, Data=0.000697, Phys=619.462940, Lambda=9.70e-08, LR=1.00e-05
Epoch 201: Train=0.000765, Val=0.000031, Data=0.000704, Phys=614.920541, Lambda=1.00e-07, LR=1.00e-05
